"标识","层级","优先级","类型","标题","所属模块","前置条件","步骤","预期结果","数据要求","设计依据"
"TC-011","功能","P1","边界值","购买数量为0或负数时提交订单被拒绝","订单模块","buyer01 已登录；SKU-A 库存充足。","1. 尝试提交购买数量为 0 的订单。
2. 尝试提交购买数量为 -1 的订单。
3. 观察返回。","1. 均提示数量非法/必须大于0，下单失败。
2. 不生成订单，不锁定库存。","数量=0、数量=-1。","数量下界边界与无效等价类。"
"TC-012","功能","P1","边界值","购买数量为极大值（如999999）时按库存校验结果处理","库存模块","SKU-A 库存=10。","1. 提交购买数量 999999 的订单。
2. 观察返回。","1. 因库存不足返回下单失败，或提示数量超出上限。
2. 不生成订单，不产生库存锁定。","数量=999999（极大值）。","数量上界边界与溢出防护。"
"TC-013","功能","P1","反向","支付金额与订单金额不一致时支付被拒绝","支付网关","buyer01 有【待支付】订单，订单金额=100。","1. 篡改支付请求金额为 1 元发起支付。
2. 观察返回与订单状态。","1. 支付被拒绝，提示金额不一致。
2. 订单保持【待支付】，不扣款、不扣库存。","订单金额100，请求金额1。","金额校验反向用例，防止少付。"
"TC-014","功能","P1","反向","支付网关超时无响应时订单保持【待支付】且不重复扣款","支付网关","支付网关配置为超时/无响应。","1. 对【待支付】订单发起支付。
2. 网关无响应，等待超时。
3. 查看订单状态与账户扣款记录。","1. 提示支付处理中或失败。
2. 订单保持【待支付】，允许重试。
3. 不产生重复扣款，库存不扣减。","","外部依赖异常与幂等性反向验证。"
"TC-015","功能","P1","反向","支付成功后重复提交同一订单支付请求不重复扣款","支付网关","订单已支付成功。","1. 对已支付订单再次发起支付请求。
2. 查看扣款记录与订单状态。","1. 拒绝重复支付，提示订单已支付。
2. 仅一次扣款，订单保持【已支付】。","","重复提交幂等性验证。"
"TC-016","功能","P1","正向","支付成功后发货通知仅触发一次且内容正确","发货通知","订单支付成功。","1. 完成一笔订单支付。
2. 查看发货通知记录。
3. 再次触发状态更新（如重复回调）。","1. 生成一条发货通知，包含订单号、商品、收货信息。
2. 重复回调不产生第二条通知（幂等）。","","发货通知正确性与幂等性。"
"TC-017","功能","P1","反向","支付失败或超时取消的订单不触发发货通知","发货通知","存在支付失败订单与超时取消订单。","1. 查看支付失败订单的通知记录。
2. 查看超时取消订单的通知记录。","1. 两类订单均无发货通知记录。
2. 仅【已支付】订单触发通知。","","通知触发条件反向验证。"
"TC-018","功能","P1","场景法","端到端场景：库存充足→支付成功→扣库存→发货通知全链路","订单模块","buyer01 已登录；SKU-A 库存=10；支付网关成功。","1. 提交 SKU-A 数量2的订单，记录订单号。
2. 校验订单为【待支付】、库存锁定2。
3. 15分钟内发起支付并成功。
4. 校验订单【已支付】、可用库存减2、发货通知生成。","全链路各节点按固定时序执行，最终订单【已支付】、库存正确扣减、发货通知存在。","SKU-A 库存=10，数量=2。","端到端主流程场景串联多模块。"
"TC-019","功能","P1","场景法","端到端场景：扣款失败重试后成功，仍受15分钟限制","支付网关","buyer01 有【待支付】订单；网关先失败后成功。","1. 首次支付失败，订单保持【待支付】。
2. 在15分钟内重试支付并成功。
3. 校验订单【已支付】、库存扣减、发货通知。","重试成功后正常完成支付流程，未超时。","","失败重试分支场景。"
"TC-020","功能","P1","场景法","端到端场景：扣款失败后拖延至超时，订单取消并释放库存","订单模块","buyer01 有【待支付】订单；网关持续失败。","1. 多次支付失败。
2. 等待超过15分钟。
3. 校验订单【已取消】、库存释放、无发货通知。","超时后订单取消、库存释放、无通知，重试入口关闭。","","失败+超时组合场景。"
"TC-021","安全","P0","安全","买家越权支付他人订单被拒绝","订单模块","buyer02 登录；存在 buyer01 的【待支付】订单。","1. buyer02 通过接口/URL 尝试对 buyer01 的订单发起支付。
2. 观察返回与订单状态。","1. 拒绝访问，提示无权限。
2. buyer01 订单状态不变，不扣款。","","io 节点权限校验，越权访问提前至P0。"
"TC-022","安全","P0","安全","并发提交同一订单支付请求仅扣款一次","支付网关","【待支付】订单，网关成功。","1. 并发发起多笔相同订单支付请求。
2. 查看扣款次数与订单状态。","1. 仅一次扣款成功。
2. 订单最终为【已支付】，无重复扣款。","","并发幂等与资金安全。"
"TC-023","安全","P0","安全","并发下单不超卖，库存扣减不出现负值","库存模块","SKU-C 库存=1，多个买家并发下单。","1. 多用户同时对 SKU-C 提交数量1订单。
2. 查看成功订单数与库存。","1. 仅1单成功，其余提示库存不足。
2. 库存不为负，锁定数量正确。","","condition 节点库存判定并发安全。"
"TC-024","安全","P1","安全","篡改订单状态参数绕过状态校验被拒绝","订单模块","存在【已取消】订单。","1. 构造请求将订单状态参数改为【待支付】发起支付。
2. 观察返回。","1. 服务端以真实状态校验，拒绝支付。
2. 订单状态不变。","","服务端状态校验防篡改。"
"TC-025","性能","P1","性能","高并发下单时库存校验与锁定性能","库存模块","SKU-A 库存充足，压测工具就绪。","1. 以目标TPS并发提交订单。
2. 监控响应时间、错误率、库存一致性。","1. 响应时间在阈值内，无超卖。
2. 库存最终一致。","","库存汇聚/锁定为性能敏感点。"
"TC-026","性能","P1","性能","批量订单超时取消与库存释放性能","订单模块","批量生成大量【待支付】订单并使其超时。","1. 触发批量超时任务。
2. 监控取消耗时与库存释放一致性。","1. 批量取消在可接受时间内完成。
2. 所有订单取消且库存正确释放。","","批量处理性能与一致性。"
